ambient_temp(C),PbOA2(ml),ODE(ml),OLA(ml),t_inject(C),TMS(ul),ODE_for_TMS(ml),Cl_at_high_t(mM),Cl_at_60C(mM),Result_wavelength(nm),Result_peak/valley
0.1,4.5,15.0,0.5,105.0,210.0,10.0,0.0,0.3,737.0,1.68
0.1,4.5,15.0,0.5,105.0,210.0,10.0,0.0,0.3,740.0,1.43
0.1,4.5,15.0,0.5,105.0,210.0,10.0,0.0,0.3,733.0,1.56
0.1,18.0,15.0,0.0,160.0,210.0,8.0,0.0,0.0,1545.0,5.5
0.1,18.0,15.0,0.0,160.0,210.0,8.0,0.0,0.3,1599.0,8.73
0.1,4.5,15.0,0.0,82.0,180.0,12.0,0.0,0.1,818.0,2.19
0.1,4.5,15.0,0.0,82.0,180.0,12.0,0.0,0.1,818.0,2.27
0.1,4.5,15.0,0.0,140.0,180.0,8.0,0.0,0.0,983.0,1.95
0.1,4.5,15.0,0.0,140.0,180.0,8.0,0.0,0.0,974.0,2.57
0.1,4.5,15.0,0.0,85.0,180.0,12.0,0.0,0.0,830.0,1.99
0.1,4.5,15.0,0.0,85.0,180.0,12.0,0.0,0.0,824.0,1.89
0.1,4.5,15.0,0.0,130.0,90.0,10.0,0.0,0.3,1094.0,12.8
0.1,4.5,15.0,0.0,130.0,90.0,10.0,0.0,0.25,1154.0,7.0
0.1,4.5,15.0,0.0,130.0,90.0,10.0,0.0,0.3,1094.0,12.8
0.1,4.5,15.0,0.0,130.0,90.0,10.0,0.0,0.25,1154.0,7.0
0.1,4.5,15.0,0.0,130.0,90.0,10.0,0.0,0.3,1094.0,12.8
0.1,4.5,15.0,0.0,130.0,90.0,10.0,0.0,0.25,1154.0,7.0
0.1,4.5,15.0,0.0,85.0,180.0,12.0,0.0,0.0,806.0,2.74
0.1,4.5,15.0,0.0,85.0,180.0,12.0,0.0,0.0,818.0,3.1
0.1,4.5,15.0,0.0,130.0,180.0,10.0,0.0,0.0,947.0,2.71
0.1,4.5,15.0,0.0,130.0,180.0,10.0,0.0,0.0,938.0,3.09
0.1,18.0,15.0,0.0,162.0,210.0,10.0,0.0,0.0,1629.0,5.63
0.1,18.0,15.0,0.0,162.0,210.0,10.0,0.0,0.3,1503.0,9.72
